Year,Custom,Port,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Cargo Loaded -Year,Cargo Unloaded -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Cargo Loaded -Jan,Cargo Unloaded -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Cargo Loaded -Feb,Cargo Unloaded -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Cargo Loaded -Mar,Cargo Unloaded -Mar,Number Of Vessels -Apl,Number Of Vessel (Direct Entrance) -Apl,Cargo Loaded -Apl,Cargo Unloaded -Apl,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Cargo Loaded -May,Cargo Unloaded -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Cargo Loaded -Jun,Cargo Unloaded -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Cargo Loaded -Jul,Cargo Unloaded -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Cargo Loaded -Aug,Cargo Unloaded -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Cargo Loaded -Sep,Cargo Unloaded -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Cargo Loaded -Oct,Cargo Unloaded -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Cargo Loaded -Nov,Cargo Unloaded -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Cargo Loaded -Dec,Cargo Unloaded -Dec
2016,1,104,302,807,804,6274,5429,45,45,266,268,41,41,304,247,45,45,330,310,47,45,308,275,88,88,565,364,89,89,689,661,93,93,669,790,93,92,617,503,90,90,809,703,89,89,864,651,43,43,439,356,44,44,414,301
2016,1,104,304,17011,16001,202289,218338,1473,1401,15266,17647,1375,1310,13750,15650,1495,1414,16720,19561,1407,1302,17521,17798,1458,1364,16944,17352,1428,1330,17685,18067,1446,1347,17200,18581,1478,1379,16686,17791,1442,1346,17226,19030,1413,1351,18091,19195,1263,1195,17000,18397,1333,1262,18200,19269
2016,1,104,305,103,103,1117,61,0,0,0,0,0,0,0,0,17,17,191,6,0,0,0,0,0,0,0,0,0,0,0,0,22,22,227,8,22,22,221,15,21,21,231,32,0,0,0,0,21,21,247,0,0,0,0,0
2016,1,104,314,840,839,14940,18053,66,66,1041,1034,66,66,1236,1365,74,74,1375,1898,69,68,1389,1474,74,74,1098,1369,70,70,1514,1586,72,72,1431,1479,70,70,934,1334,67,67,1137,1425,72,72,1331,1739,71,71,1293,1727,69,69,1161,1623
2016,1,104,538,156,156,146,609,14,14,5,39,12,12,5,30,13,13,26,54,13,13,13,21,13,13,7,36,13,13,22,22,14,14,10,28,13,13,15,48,13,13,19,56,12,12,6,85,13,13,8,109,13,13,10,81
2016,1,104,601,1182,1182,2972,2253,111,111,177,112,105,105,201,182,108,108,234,194,91,91,226,266,88,88,199,158,80,80,258,194,89,89,255,217,102,102,273,185,89,89,280,169,95,95,255,196,99,99,262,171,125,125,352,209
2016,1,104,602,78,78,7,14,5,5,0,2,4,4,0,1,4,4,0,0,5,5,0,0,4,4,0,2,4,4,1,2,8,8,1,1,9,9,1,1,8,8,1,1,9,9,1,1,9,9,1,1,9,9,1,2
2016,1,104,606,430,429,2535,5323,44,44,136,680,42,42,151,611,43,43,160,656,39,38,185,445,33,33,277,295,30,30,285,298,31,31,201,262,31,31,195,227,30,30,196,253,31,31,272,441,30,30,243,536,46,46,234,619
2016,1,104,619,105,105,640,37,9,9,45,3,9,9,55,1,8,8,51,3,9,9,48,3,9,9,29,1,8,8,53,2,9,9,65,3,9,9,38,1,8,8,51,6,10,10,84,6,8,8,62,2,9,9,59,6
2016,1,124,103,244,244,152,55,21,21,14,4,21,21,12,4,22,22,15,5,21,21,16,5,23,23,15,4,21,21,10,4,22,22,5,4,23,23,1,4,23,23,12,3,20,20,20,6,13,13,17,5,14,14,15,7
